127.0.0.1 - - [01/May/2022:23:05:29 +0800] "GET / HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [01/May/2022:23:05:29 +0800] "GET /pro2004/login.jsp HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [01/May/2022:23:05:29 +0800] "GET /favicon.ico HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [01/May/2022:23:06:42 +0800] "GET /pro2004/login.jsp HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [01/May/2022:23:06:42 +0800] "GET /favicon.ico HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [01/May/2022:23:07:51 +0800] "GET /pro2004/login.jsp HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [01/May/2022:23:07:52 +0800] "GET /favicon.ico HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [01/May/2022:23:07:58 +0800] "POST /pro2004/LoginServlet HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [01/May/2022:23:08:08 +0800] "POST /pro2004/LoginServlet HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [01/May/2022:23:08:20 +0800] "GET /pro2004/login.jsp HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [01/May/2022:23:08:20 +0800] "GET /favicon.ico HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [01/May/2022:23:08:38 +0800] "POST /pro2004/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2022:23:08:39 +0800] "GET /pro2004/GetUserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2022:23:08:39 +0800] "GET /pro2004/login/result.jsp HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [01/May/2022:23:08:58 +0800] "POST /pro2004/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2022:23:08:58 +0800] "GET /pro2004/GetUserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2022:23:08:59 +0800] "GET /pro2004/login/result.jsp HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [01/May/2022:23:09:14 +0800] "GET /pro2004/login.jsp HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [01/May/2022:23:09:36 +0800] "GET /pro2004/GetCurUser?id=6 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2022:23:09:37 +0800] "GET /pro2004/login/update.jsp HTTP/1.1" 200 1383
0:0:0:0:0:0:0:1 - - [01/May/2022:23:09:44 +0800] "GET /pro2004/getuserservlet HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [01/May/2022:23:09:53 +0800] "GET /pro2004/loginservlet HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [01/May/2022:23:09:53 +0800] "GET /pro2004/loginservlet HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [01/May/2022:23:10:11 +0800] "GET /pro2004/login/result.jsp HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [01/May/2022:23:10:15 +0800] "GET /pro2004/login.jsp HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [01/May/2022:23:10:26 +0800] "GET /pro2004/UpdateServlet?id=6&uname=%E5%BC%A0%E4%B8%89&upassword=321&utruename=%E4%B8%8A%E5%96%84%E8%8B%A5%E6%B0%B4&usex=%E5%A5%B3&uage=50&ufavor=%E8%AF%BB%E4%B9%A6&ufavor=%E8%BF%90%E5%8A%A8&ufavor=%E5%90%AC%E9%9F%B3%E4%B9%90 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2022:23:10:27 +0800] "GET /pro2004/GetUserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2022:23:10:28 +0800] "GET /pro2004/login/result.jsp HTTP/1.1" 200 1423
0:0:0:0:0:0:0:1 - - [01/May/2022:23:10:37 +0800] "GET /pro2004/getcuruser?id=6 HTTP/1.1" 404 723
0:0:0:0:0:0:0:1 - - [01/May/2022:23:10:38 +0800] "GET /pro2004/login.jsp HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [01/May/2022:23:10:39 +0800] "GET /favicon.ico HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [01/May/2022:23:10:46 +0800] "POST /pro2004/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2022:23:10:46 +0800] "GET /pro2004/GetUserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2022:23:10:47 +0800] "GET /pro2004/login/result.jsp HTTP/1.1" 200 1423
0:0:0:0:0:0:0:1 - - [01/May/2022:23:11:42 +0800] "GET /pro2004/updateservlet?id=6 HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [01/May/2022:23:12:01 +0800] "GET /pro2004/login/update.jsp HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [01/May/2022:23:12:04 +0800] "GET /pro2004/login.jsp HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [01/May/2022:23:12:15 +0800] "GET /pro2004/login/update.jsp HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [01/May/2022:23:12:18 +0800] "GET /pro2004/login.jsp HTTP/1.1" 200 443
